,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name
72,945180748994285570,2022-09-27 21:02:30+00:00, ,1574867098072915987,de,2,0,0,0,Twitter Web App,"@RudolfineZ @marcopogo666 Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/1ceKlYSqNV",AdVerteisa,Ad Verteisa
73,945180748994285570,2022-09-27 20:50:17+00:00, ,1574864024755380240,de,5,1,0,0,Twitter Web App,"Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/YvNE1gQkJZ",AdVerteisa,Ad Verteisa
74,1907053136,2022-09-27 20:40:26+00:00, ,1574861543937916929,de,0,0,0,14,Twitter for Android,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,gamt555,Gayane Melikbekyan
75,2842664093,2022-09-27 20:40:10+00:00, ,1574861476422107136,de,1,0,0,0,Twitter for iPhone,"@Claus_Pandi Schlimm ist es nur wenn sie das auch glauben? Ein #grüner #Bundespräsident der Entscheidungen nur nach Rücksprache mit @WKogler und @sigi_maurer trifft und zugibt, dass @diegruenen seinen Wahlkampf machen und bezahlen ist nicht länger tragbar - für die #Familie natürlich schon🤮",Chrisnew66,Chris New
76,407369507,2022-09-27 20:30:23+00:00, ,1574859015867273244,de,1,0,0,0,Twitter for iPhone,"@marcopogo666 bei @ArminWolf -  er ist eh nett, aber was ihn zum Bundespräsident befähigen soll, weiß ich jetzt noch weniger, als vorher. Ihm gehts wohl grad ähnlich. #bundespräsident #wahl #allesnichtsolustig #bierpartei",EvaSpreitzhofer,Eva Spreitzhofer
77,890319068393336832,2022-09-27 20:26:10+00:00, ,1574857955383644173,de,5,0,1,1,Twitter for iPhone,"Ich bin ja auch für VdB, aber hat jetzt wirklich @ArminWolf alle Interviews gemacht nur das mit @vanderbellen nicht ?
Wird schon einen Grund geben aber komisch schaut das schon aus. Samthandschuhe für den Amtsinhaber, scharfe Prüfung bei den anderen 🤔 #orf #bundespräsident",MarkusMoser6,Markus Moser
78,1567809256966979585,2022-09-27 20:01:33+00:00, ,1574851761231302667,de,0,0,0,2,Twitter for Android,"RT @Chrisnew66: @vanderbellen Das ist ja klar, dass sich der #Bundespräsident um den #Iran mehr kümmert als um die vielen #Femizide in unse…",TheShield_1969,TheShields
79,953592156555538432,2022-09-27 19:59:30+00:00, ,1574851245067669507,de,0,0,0,2,Twitter for Android,"RT @Chrisnew66: @vanderbellen Das ist ja klar, dass sich der #Bundespräsident um den #Iran mehr kümmert als um die vielen #Femizide in unse…",kohn_sylvia,Kohn Sylvia
80,2842664093,2022-09-27 19:45:49+00:00, ,1574847799555985416,de,6,0,0,2,Twitter for iPhone,"@vanderbellen Das ist ja klar, dass sich der #Bundespräsident um den #Iran mehr kümmert als um die vielen #Femizide in unserem Land - oder auch die tausenden Pensionisten die sich das Leben nicht mehr leisten können!
Die Aussage #HureDerReichen passt leider bei allen #türkisgrünen🤮",Chrisnew66,Chris New
81,2977888023,2022-09-27 18:44:01+00:00, ,1574832246950957067,de,0,0,0,0,Twitter Web App,"Gegen das Chaos der österreichisch Regierung 
Gegen das Chaos EU-Politik
Gegen #VanderBellen 
Gerald #Grosz für einen Neuanfang

#bundespräsident #wahl https://t.co/ATRvmxWUUj",CSchmaranz,Christian Schmaranz
82,1394924191942692871,2022-09-27 18:05:10+00:00, ,1574822471970295830,de,0,0,1,0,Twitter for Android,"Nächste Woche findet die Bundespräsidentschaftswahl statt. In ganz 🇦🇹 sind knapp 1,4 Mio. wahlfähige Menschen von dieser Wahl ausgeschlossen, weil sie keine 🇦🇹 Staatsbürgerschaft haben. #democracygap #vdb #bundespräsident #wahl",PickPolitics,Ajla Lubić 🇦🇹
83,908346504989085699,2022-09-27 16:48:26+00:00, ,1574803161658818560,de,0,0,0,14,Twitter for iPhone,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,kngregorian,Karnik Gregorian
84,1570660451083493388,2022-09-27 16:37:14+00:00, ,1574800341983547395,de,0,0,0,14,Twitter Web App,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,Bobby48500678,Bob Minion
85,1311336003492368384,2022-09-27 16:36:55+00:00, ,1574800263302496256,de,0,0,0,14,Twitter for iPhone,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,GarBarVie,GarBar #FreeArmenianPOWs
86,76948009,2022-09-27 16:24:58+00:00, ,1574797256108244997,de,0,0,0,14,Twitter for Android,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,Politikcity,Hansi
87,1339878387524005888,2022-09-27 15:19:43+00:00, ,1574780835030618112,de,0,0,0,1,Twitter Web App,RT @j_2ross: Heute Nachmittag wird der neue französische Botschafter François #Delattre von #Bundespräsident Steinmeier akkreditiert und ni…,WernertYann,Yann Wernert
88,754060106321494016,2022-09-27 11:55:56+00:00, ,1574729548918583296,de,6,0,1,1,Twitter for iPhone,Heute Nachmittag wird der neue französische Botschafter François #Delattre von #Bundespräsident Steinmeier akkreditiert und nimmt damit offiziell seine Amtsgeschäfte in Deutschland auf. https://t.co/n5pGIte6iI,j_2ross,Jacob Ross
89,1383014326030721028,2022-09-27 11:30:19+00:00, ,1574723103153864704,de,0,0,0,14,Twitter for Android,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,Yaenntz,Jens Polikeit (er/ihn)
90,584085933,2022-09-27 11:28:35+00:00, ,1574722668586274817,de,0,0,0,14,Twitter Web App,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,philiphogh,Philip Hogh
91,2957405674,2022-09-27 11:16:09+00:00, ,1574719539887362049,de,0,0,0,14,Twitter for iPhone,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,blackmetalelewi,Hesso 🐭🌻
92,133850677,2022-09-27 11:01:00+00:00, ,1574715724953571329,de,0,0,0,14,Twitter Web App,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,ortwinr,Ortwin
93,1120528734,2022-09-27 11:00:47+00:00, ,1574715671786754049,de,0,0,0,14,Twitter Web App,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,laarturi,Liana
94,1315267017293869057,2022-09-27 10:54:18+00:00, ,1574714040861052928,de,0,0,0,51,Twitter Web App,"RT @IliasUyar: Hi @AuswaertigesAmt, dem diplomatischen Niveau von #Aserbaidschan mag es entsprechen, ist es aber für Sie akzeptabel, wenn d…",TobiasB10527013,Tobias Baumann
95,1029090452,2022-09-27 10:49:58+00:00, ,1574712950308290560,de,0,0,0,14,Twitter for iPhone,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,Alexisaram,alexis krikorian
96,733576813243301888,2022-09-27 10:47:18+00:00, ,1574712276061487106,de,0,0,0,14,Twitter for iPhone,RT @IliasUyar: Wird der #Bundespräsident den für diese hetzerischen Plakate verantwortlichen Botschafter #Aserbaidschan|s heute akkreditier…,watchingyou81,No Hate! Gegen jeden Antisemitismus und Rassismus!
